motor,seed,controller,avg_power_saving_pct,avg_eta_gain_pct,err_failures,start_stop_power_saving_pct,worst_current_peak_ratio,worst_current_mean_ratio,avg_controller_speed_err,checkpoint,supervisor_source
air56,101,PI,0.0,0.0,0.0,0.0,1.0,1.0,3.5235041741393505,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,baseline
air56,101,FOC,0.0,0.0,0.0,0.0,1.0,1.0,3.5235041741393505,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,n/a
air56,101,MIC,0.4939407620505626,-0.014297732072435232,0.0,1.7495819516475164,1.0598524096718733,1.001844490148873,3.455625845492818,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,config
air56,202,PI,0.0,0.0,0.0,0.0,1.0,1.0,3.4903117067478595,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,baseline
air56,202,FOC,0.0,0.0,0.0,0.0,1.0,1.0,3.4903117067478595,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,n/a
air56,202,MIC,0.4925641263328506,-0.010571726395786074,0.0,2.2762694388052784,1.0060813282958232,1.000986969710947,3.4080342598494284,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,config
air56,303,PI,0.0,0.0,0.0,0.0,1.0,1.0,3.4861598323844376,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,baseline
air56,303,FOC,0.0,0.0,0.0,0.0,1.0,1.0,3.4861598323844376,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,n/a
air56,303,MIC,0.7038143415161596,-0.007602486449920232,0.0,2.068592024997229,1.0125315647104194,1.000929804538117,3.4039539329151505,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,config
air56,404,PI,0.0,0.0,0.0,0.0,1.0,1.0,3.5013742480538785,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,baseline
air56,404,FOC,0.0,0.0,0.0,0.0,1.0,1.0,3.5013742480538785,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,n/a
air56,404,MIC,0.5222084029522012,0.029755675848147645,1.0,2.2957125705774795,1.0033972395079416,1.0010985605646747,3.411211504435504,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,config
air56,505,PI,0.0,0.0,0.0,0.0,1.0,1.0,3.5258907223604616,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,baseline
air56,505,FOC,0.0,0.0,0.0,0.0,1.0,1.0,3.5258907223604616,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,n/a
air56,505,MIC,0.5400400480870315,-0.02904105798083867,1.0,2.257764967521514,1.0919909683052051,1.0032686139951994,3.4475073865461705,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,config
al31,101,PI,0.0,0.0,0.0,0.0,1.0,1.0,0.6911568480581045,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,baseline
al31,101,FOC,0.0,0.0,0.0,0.0,1.0,1.0,0.6911568480581045,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,n/a
al31,101,MIC,0.11129004592030367,0.008460170220830898,0.0,0.10002429748930952,1.0143929643020309,0.9996552148762822,0.6760225331162689,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,config
al31,202,PI,0.0,0.0,0.0,0.0,1.0,1.0,0.7469221895784139,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,baseline
al31,202,FOC,0.0,0.0,0.0,0.0,1.0,1.0,0.7469221895784139,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,n/a
al31,202,MIC,1.0178997586464762,-0.006023721511386193,0.0,3.837577752967969,1.019446419107018,1.0016187402630248,0.6711079246016185,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,config
al31,303,PI,0.0,0.0,0.0,0.0,1.0,1.0,0.9512920123189688,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,baseline
al31,303,FOC,0.0,0.0,0.0,0.0,1.0,1.0,0.9512920123189688,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,n/a
al31,303,MIC,3.000326052073754,-0.011755900941823327,0.0,11.780895435587935,1.0163559161494464,1.0198900847237005,0.5932799703790282,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,config
al31,404,PI,0.0,0.0,0.0,0.0,1.0,1.0,0.7263774713128806,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,baseline
al31,404,FOC,0.0,0.0,0.0,0.0,1.0,1.0,0.7263774713128806,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,n/a
al31,404,MIC,0.36673784519375974,0.006674404979134518,0.0,1.4850350842394944,1.0090975096407466,1.007004485875195,0.7023014991382339,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,config
al31,505,PI,0.0,0.0,0.0,0.0,1.0,1.0,0.9512903584092856,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,baseline
al31,505,FOC,0.0,0.0,0.0,0.0,1.0,1.0,0.9512903584092856,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,n/a
al31,505,MIC,3.000319999415249,-0.011755684011299783,0.0,11.780873143550608,1.0163564569335184,1.0198900477621178,0.593279659004364,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,config
ao2,101,PI,0.0,0.0,0.0,0.0,1.0,1.0,8.991597624167799,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,baseline
ao2,101,FOC,0.0,0.0,0.0,0.0,1.0,1.0,8.991597624167799,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,n/a
ao2,101,MIC,0.18416587318583755,0.21302986670233282,0.0,-0.15698848622700545,1.0202471205318715,1.0039958361193937,9.022563612339635,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,config
ao2,202,PI,0.0,0.0,0.0,0.0,1.0,1.0,16.266247752871365,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,baseline
ao2,202,FOC,0.0,0.0,0.0,0.0,1.0,1.0,16.266247752871365,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,n/a
ao2,202,MIC,0.10909000094970756,0.05142088645676557,0.0,0.9429988790342847,1.055516227813753,1.0064782241125334,15.437490327882154,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,config
ao2,303,PI,0.0,0.0,0.0,0.0,1.0,1.0,10.61751597701013,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,baseline
ao2,303,FOC,0.0,0.0,0.0,0.0,1.0,1.0,10.61751597701013,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,n/a
ao2,303,MIC,0.01788247716225655,0.4804515606469467,0.0,-0.13386142102065346,1.0232963089886797,1.0064997021761437,10.705711903147787,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,config
ao2,404,PI,0.0,0.0,0.0,0.0,1.0,1.0,10.753810193642975,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,baseline
ao2,404,FOC,0.0,0.0,0.0,0.0,1.0,1.0,10.753810193642975,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,n/a
ao2,404,MIC,0.2736640847209204,0.719140674283919,0.0,1.9808595403335794,1.0343519034793232,1.007100731137672,11.027146583736826,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,config
ao2,505,PI,0.0,0.0,0.0,0.0,1.0,1.0,11.827436863526701,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,baseline
ao2,505,FOC,0.0,0.0,0.0,0.0,1.0,1.0,11.827436863526701,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,n/a
ao2,505,MIC,0.2569871864464973,0.12977548473228906,0.0,0.8372963664093569,1.0678530284171581,1.0036350869237176,11.917197156432177,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,config
